Sunset St & Kineton Green,8243
Sunset St & Marietta Ave,8111
Sunset St & Melrose Ave,8109
Sunset St & Oakcrest St,8113
Sunset St & Penfro Dr,8127
Swisher St & Foster Rd,8089
Sycamore Mall,7061
Sycamore Mall Cinema Theater,7135
Taylor Dr & Hollywood Blvd,7040
Taylor Dr & Sandusky Dr,7039
Thatcher/Baculus Trailer Park,8023
Theatre Building,2106
UI Family Care,8101
UI Main Library,7080
UIHC Family Care,8102
Upland & Ave & Court St,7313
Upland Ave & Crestview Ave,7326
Upper City Park,8068
VA Hospital - Woolf Ave,8050
VA Loop,250
Village Rd & Brighton Green,7264
Village Rd & Village Green Blvd,7265
Voxman Music Building,1039
W Zeller St & Sugar Creek Ln,5876
Walker Circle & Moses Bloom Ln,8090
Walmart,8014
Washington St @ Lemme Elementary,7434
Washington St & Dodge St,7306
Washington St & Gilbert St - Iowa City City Hall,7201
Washington St & Green Mountain Dr,7436
"Washington St & Linn St - IC Library, Senior Center",7200
Washington St & Madison St,822
Washington St & Mount Vernon Dr,7437
Washington St & Raven St,7433
Washington St & Van Buren St,7046
Washington St & Westminster St,7435
Wayne Ave & Arthur St,7261
Wayne Ave & Dover St,7262
Wayne Ave & Village Rd,7263
"WCTC 2,4,6,8",2000
Wellington Dr & Scott Blvd,7606
Westgate St & Benton St,8235
Westgate St & Gilmore Court,8254
Westgate St & Keswick Dr,8252
Westgate St & Melrose Ave,8212
Westgate St & Westgate Circle,8249
Westgate St Midblock,8250
Westport Plaza 1,8013
Westside Dr & Earl Rd,8270
Westside Dr & Jeffrey St,8271
Westside Dr & Morman Trek Blvd,8273
Westwinds Dr - Walden Plaza,8229
Westwinds Dr & Hawaii Court,8223
Westwinds Dr & Melrose Ave,8242
Westwinds Dr & Roberts Rd,8224
Westwinds Dr & Willowwind Place,8222
Westwinds Dr #2,8230
Westwinds Dr #3,8231
Whiting Ave & Kimball Rd,7528
Wild Prairie Dr & Prairie Grass Ln,8340
William St @Towncrest Medical Offices,7259
William St & Bradford Dr - SEJH,8241
William St & Wayne Ave @ South East Junior High,7260
Woodside Place & Greenwood Dr,8120
Woolf Ave & Bayard St,8052
Woolf Ave & Rider St,8053
Woolf Ave & River St,8054
York Place & Brentwood Ln,7339
